timestep,reward
1248576,0.3333333333333335
1267776,0.13599768654459654
1286976,0.14833538738059468
1306176,0.16525048201494325
1325376,0.21572143145931036
1344576,0.19648924072967233
1363776,0.17340024011231278
1382976,0.13806775196507842
1402176,0.14607220549652045
1421376,0.08004843943905353
1440576,0.1866106966225419
1459776,0.13789101669049317
1478976,0.25550243027784636
1498176,0.11871480581189803
1517376,0.1680548094963636
1536576,0.17851031185082733
1555776,0.14898506598987468
1574976,0.16862920945186818
1594176,0.16877141876179141
1613376,0.10949958440929372
1632576,0.18912949539602686
1651776,0.149427254153393
1670976,0.11725664155693466
1690176,0.14123534485133707
1709376,0.14699849870375997
1728576,0.11037441418760112
1747776,0.1849717725652457
1766976,0.17651582448403907
1786176,0.1401768611318
1805376,0.12201205811046797
1824576,0.17902189688591996
1843776,0.16073468635524438
1862976,0.15163419488189814
1882176,0.17116213068170988
1901376,0.1716509750440808
1920576,0.23950806035048014
1939776,0.2209600377452554
1958976,0.1252381326165
1978176,0.1447072979831033
1997376,0.1353466391401233
2016576,0.08722064585426759
2035776,0.14542071441206203
2054976,0.15531402899316954
2074176,0.08753844086290133
2093376,0.14591945860637937
2112576,0.16555627425579167
2131776,0.1656929277756791
2150976,0.14635641404383734
2170176,0.22454216543809052
2189376,0.16623831244892803
2208576,0.16641314474544852
2227776,0.15675956768769103
2246976,0.21561892229664917
2266176,0.20607712199038095
2285376,0.2062385369637165
2304576,0.18673758094642018
2323776,0.1671548144238027
2342976,0.09844802361516038
2362176,0.09850587042474818
2381376,0.128093138871701
2400576,0.11831845974797206
2419776,0.17752814899227476
2438976,0.1381698897697642
2458176,0.12835727730352536
2477376,0.17775036939008568
2496576,0.1185828235369473
2515776,0.13837514784497423
2534976,0.25699459942579245
2554176,0.1977448296748405
2573376,0.178007887059456
2592576,0.15827867633262038
2611776,0.1880164399877253
2630976,0.2078619142947582
2650176,0.17827137518358643
2669376,0.23771200597749448
2688576,0.18826239035504388
2707776,0.1288478647630572
2726976,0.21807910283548906
2746176,0.15865545237873233
2765376,0.12892455340817335
2784576,0.16862822568489716
2803776,0.14882250548700435
2822976,0.1389257047005433
2842176,0.1587934611309783
2861376,0.14890515304413876
2880576,0.15886154369732716
2899776,0.08938756089978238
2918976,0.19863888370893368
2938176,0.18873689538995791
2957376,0.09936352021491951
2976576,0.2086646662199348
2995776,0.19875398842099234
3014976,0.1987768133499657
3034176,0.17893627365478454
3053376,0.14914788406714977
3072576,0.17899268783967381
3091776,0.10939863446067818
3110976,0.1491781342328685
3130176,0.13924858528717626
3149376,0.2088917626160493
3168576,0.19897153424000774
3187776,0.1592034933774943
3206976,0.1592234006726878
3226176,0.19903766827832242
